Fe,Ti,Ca,Si,Al,Mg,Na,date,timestamp,lat,lon
5.07196,2.95185,9.68962,7.11736,5.51912,19.6812,4.96893,2019-09-14,2019-09-14 01:45:14,1.67435,107.25
2.0692,0.96602,5.08626,9.13498,12.9246,19.8779,4.94108,2019-09-14,2019-09-14 18:55:39,-58.204299999999996,-80.368925
1.42256,0.00134147,5.12438,18.145,5.75886,19.5795,4.96838,2019-09-14,2019-09-14 13:00:58,-64.933325,-76.60239999999999
1.76636,2.00864,6.62869,1.73882,19.7632,19.4214,3.67287,2019-09-14,2019-09-14 10:35:14,16.972275,-77.953125
5.0,1.0,9.0,20.5,14.0,5.0,0.5,2021-04-22,2021-04-22 20:18:45,-72.82675,-72.42014999999999
8.87726,11.3385,5.63311,1.93956,5.48187,18.1481,3.58168,2019-09-14,2019-09-14 01:20:50,-72.9538,103.983
1.0307,0.000683315,5.08519,15.9159,8.10898,19.8687,4.98982,2019-09-14,2019-09-14 12:12:50,80.40440000000001,-85.022075
7.95713,4.87906,13.0505,13.9215,5.5209,6.63244,3.03848,2019-09-14,2019-09-14 23:31:23,-4.943475,95.1412
1.36667,0.213854,6.78528,10.7401,17.497,15.5088,2.88836,2019-09-14,2019-09-14 10:29:22,34.56125,-78.3177
1.30236,0.447,9.69451,15.8469,9.20707,14.7427,3.75946,2019-09-14,2019-09-14 01:41:46,-8.806075000000002,107.08624999999999
1.26178,3.41565,5.06424,15.2883,5.16778,19.9496,4.85267,2019-09-14,2019-09-14 04:51:38,-23.2514,-74.0149
1.18435,0.000527943,5.01191,18.8847,5.01043,19.9146,4.9935,2019-09-14,2019-09-14 16:45:47,-24.619625,-80.50385
1.10051,0.0011495,5.01562,18.5227,5.44231,19.9244,4.99332,2019-09-14,2019-09-14 14:24:59,41.314775,-80.700225
1.07726,0.0131678,5.16566,19.0799,5.2947,19.47,4.89935,2019-09-14,2019-09-14 01:00:10,-43.034724999999995,-71.367425
17.3026,0.0611323,5.1816,2.47146,5.89154,19.1598,4.93189,2019-09-14,2019-09-14 07:22:58,-56.630075,102.495
